AccessCategoryID,CustomerID,CategoryName,AccessDate,Duration,PageViews,Clicks,DeviceType,BrowserType,ReferralSource,IPAddress,Geolocation
120,168,happen,3/9/2024,35,31,46,Desktop,Firefox,Direct,6.210.137.26,Cape Verde
121,4,box,3/5/2024,15,94,61,Mobile,Chrome,Social Media,66.97.26.15,Pitcairn Islands
122,10,debate,6/28/2024,74,82,25,Desktop,Chrome,Social Media,195.156.52.211,Madagascar
123,150,traditional,1/13/2024,26,22,91,Mobile,Safari,Direct,4.76.184.208,Thailand
124,89,commercial,1/15/2024,41,98,93,Mobile,Firefox,Direct,67.146.19.34,Tajikistan
125,27,our,5/29/2024,48,23,12,Desktop,Safari,Social Media,88.183.3.167,Guadeloupe
126,97,someone,1/8/2024,81,18,54,Desktop,Safari,Search Engine,187.89.157.91,Liberia
127,7,have,4/18/2024,18,82,45,Desktop,Firefox,Direct,222.1.21.11,Syrian Arab Republic
128,176,believe,6/4/2024,59,21,13,Desktop,Firefox,Social Media,72.30.242.67,Uruguay
129,148,country,7/17/2024,82,68,60,Mobile,Chrome,Direct,165.160.207.60,Luxembourg
130,8,listen,6/4/2024,48,80,91,Mobile,Firefox,Social Media,151.202.15.47,Norfolk Island
131,24,crime,4/16/2024,82,65,2,Mobile,Firefox,Social Media,29.235.141.57,Angola
132,15,experience,3/28/2024,66,6,12,Desktop,Firefox,Search Engine,39.90.198.94,Bosnia and Herzegovina
133,171,here,2/21/2024,70,81,2,Desktop,Firefox,Direct,86.189.120.174,Moldova
134,143,morning,1/18/2024,83,22,4,Desktop,Chrome,Social Media,147.115.140.81,Jordan
135,16,hear,1/5/2024,89,45,98,Mobile,Firefox,Social Media,173.115.218.52,Slovakia (Slovak Republic)
136,110,specific,4/11/2024,87,82,5,Desktop,Firefox,Social Media,46.246.177.220,Ghana
137,6,particular,8/20/2024,53,99,75,Desktop,Firefox,Direct,168.45.203.122,Honduras
138,72,natural,6/29/2024,2,30,20,Mobile,Chrome,Search Engine,34.148.128.172,Lao People's Democratic Republic
139,153,bit,1/12/2024,94,26,68,Desktop,Safari,Social Media,189.191.190.39,Jordan
140,160,since,4/16/2024,17,54,35,Mobile,Firefox,Social Media,10.75.227.144,Guinea
141,55,movie,7/10/2024,23,12,75,Mobile,Firefox,Social Media,121.26.210.152,Zambia
142,74,can,4/23/2024,65,2,8,Desktop,Safari,Search Engine,69.129.252.161,Guam
143,79,short,7/12/2024,32,91,80,Desktop,Safari,Search Engine,121.163.124.97,Saint Lucia
144,43,meet,6/24/2024,22,46,30,Desktop,Safari,Social Media,116.113.241.172,Montenegro
145,114,ahead,7/23/2024,29,65,90,Mobile,Chrome,Social Media,216.220.8.75,Serbia
146,135,outside,7/31/2024,26,92,71,Desktop,Chrome,Search Engine,45.200.214.82,Bolivia
147,72,whatever,6/20/2024,107,24,86,Mobile,Safari,Social Media,83.8.218.160,Ghana
148,75,television,4/13/2024,34,21,84,Desktop,Firefox,Direct,31.198.216.216,Heard Island and McDonald Islands
149,17,sea,7/17/2024,119,28,38,Desktop,Firefox,Direct,164.40.75.52,Monaco
150,7,thus,7/25/2024,94,30,57,Mobile,Chrome,Search Engine,154.62.134.49,Togo
151,194,despite,5/30/2024,113,71,70,Mobile,Firefox,Search Engine,179.188.233.38,Heard Island and McDonald Islands
152,149,whom,5/11/2024,109,30,74,Desktop,Firefox,Direct,154.246.158.214,Croatia
153,138,sea,7/16/2024,32,20,88,Mobile,Firefox,Social Media,113.199.232.242,Somalia
154,137,account,5/9/2024,25,83,96,Mobile,Safari,Direct,169.58.243.69,Burkina Faso
155,15,interest,4/1/2024,41,87,68,Mobile,Firefox,Social Media,109.34.94.129,Saint Kitts and Nevis
156,23,game,1/22/2024,22,85,27,Mobile,Chrome,Social Media,43.68.6.140,Sierra Leone
157,168,line,7/2/2024,53,56,84,Mobile,Firefox,Search Engine,158.222.180.205,Brunei Darussalam
158,27,central,5/12/2024,36,42,98,Mobile,Chrome,Social Media,145.75.109.187,San Marino
159,144,section,5/17/2024,15,15,39,Mobile,Safari,Social Media,148.134.85.57,Uganda
160,97,recognize,4/7/2024,73,61,37,Desktop,Safari,Direct,197.20.69.31,Belarus
161,133,black,7/24/2024,47,7,47,Mobile,Safari,Direct,95.139.33.115,Saint Pierre and Miquelon
162,101,same,2/9/2024,13,83,14,Mobile,Chrome,Social Media,22.83.189.83,Czech Republic
163,187,power,3/20/2024,117,27,85,Mobile,Chrome,Search Engine,85.88.174.105,Marshall Islands
164,158,rule,8/12/2024,63,95,44,Desktop,Firefox,Search Engine,49.122.193.36,India
165,80,experience,5/12/2024,46,22,10,Mobile,Chrome,Search Engine,124.218.149.20,Palestinian Territory
166,91,thus,3/27/2024,23,74,62,Desktop,Chrome,Search Engine,98.82.206.111,Turkey
167,134,whom,5/28/2024,109,55,73,Desktop,Safari,Direct,87.37.125.205,Angola
168,153,them,6/19/2024,101,5,21,Desktop,Chrome,Search Engine,39.140.75.163,Germany
169,99,Mr,4/1/2024,115,1,60,Mobile,Safari,Direct,147.204.92.49,Dominica
170,78,mouth,5/5/2024,85,47,97,Desktop,Chrome,Social Media,130.33.14.198,Mauritius
171,99,phone,1/6/2024,50,69,59,Desktop,Chrome,Social Media,121.125.73.88,Benin
172,58,best,8/13/2024,80,39,47,Mobile,Firefox,Social Media,184.65.190.165,Korea
173,131,material,2/19/2024,69,35,49,Desktop,Safari,Direct,44.136.252.227,Montenegro
174,89,officer,7/14/2024,26,67,5,Mobile,Firefox,Search Engine,108.74.241.74,Azerbaijan
175,50,research,7/23/2024,73,32,75,Mobile,Safari,Direct,186.164.144.90,Ghana
176,93,Democrat,2/25/2024,39,65,74,Mobile,Chrome,Direct,207.136.85.185,Ukraine
177,15,dark,3/25/2024,116,45,9,Desktop,Firefox,Social Media,161.222.182.224,Israel
178,113,never,7/7/2024,18,77,1,Mobile,Chrome,Social Media,79.145.173.245,Sierra Leone
179,135,to,3/7/2024,95,64,41,Mobile,Firefox,Search Engine,193.16.66.185,Belarus
180,188,would,5/16/2024,91,97,15,Desktop,Chrome,Social Media,79.177.198.191,Taiwan
181,37,degree,7/5/2024,8,58,20,Desktop,Safari,Social Media,64.159.108.84,Syrian Arab Republic
182,105,TV,4/19/2024,28,50,16,Desktop,Chrome,Social Media,12.227.6.252,Benin
183,189,determine,6/23/2024,70,60,21,Desktop,Chrome,Social Media,102.71.246.45,Egypt
184,133,send,7/4/2024,58,65,9,Mobile,Firefox,Search Engine,11.129.197.157,Falkland Islands (Malvinas)
185,28,past,5/12/2024,107,48,91,Desktop,Safari,Direct,4.250.203.232,Turkmenistan
186,30,Democrat,6/3/2024,43,1,10,Desktop,Firefox,Direct,84.138.189.219,New Caledonia
187,186,avoid,6/28/2024,62,9,48,Desktop,Safari,Search Engine,219.223.222.153,Uruguay
188,105,peace,5/30/2024,118,79,66,Mobile,Safari,Social Media,72.77.86.140,Tajikistan
189,104,by,4/12/2024,112,41,31,Desktop,Chrome,Direct,157.119.220.172,Mauritania
190,118,physical,3/13/2024,111,27,25,Mobile,Chrome,Direct,13.101.31.229,Cape Verde
191,64,seat,6/30/2024,71,43,1,Desktop,Chrome,Social Media,109.25.47.35,Syrian Arab Republic
192,31,many,8/16/2024,62,25,93,Desktop,Chrome,Direct,58.132.6.246,Saint Lucia
193,152,change,5/10/2024,117,91,9,Mobile,Firefox,Direct,44.105.214.225,Canada
194,138,finally,7/24/2024,11,12,99,Mobile,Chrome,Search Engine,28.248.179.248,Bouvet Island (Bouvetoya)
195,198,painting,8/9/2024,34,91,59,Desktop,Chrome,Search Engine,7.76.133.236,Ghana
196,145,everybody,4/19/2024,16,69,45,Mobile,Chrome,Search Engine,10.120.70.140,Turkey
197,146,travel,1/23/2024,70,12,83,Mobile,Safari,Search Engine,47.136.100.235,Antarctica (the territory South of 60 deg S)
198,114,child,6/20/2024,24,16,24,Mobile,Chrome,Social Media,21.53.121.147,Barbados
199,20,reality,4/30/2024,85,37,74,Mobile,Chrome,Search Engine,212.94.104.27,Saint Lucia
200,23,wish,1/18/2024,112,75,93,Mobile,Firefox,Search Engine,159.65.211.26,Zimbabwe
