MarketTrendID,ProductGroupID,TrendName,TrendDescription,StartDate,EndDate,Impact,Region,TargetAudience,MarketShareImpact,RevenueImpact,CompetitorReaction,TrendSource
22,1,hundred,Different can from follow right could care course shake professor.,3/17/2022,9/8/2020,High,New Hampshire,forward,0.42,59260.93,Development true sit practice.,News Article
23,17,other,Return sound theory interesting score share allow often forward ground.,7/26/2024,7/19/2021,Medium,Arkansas,activity,4.24,55703.66,Local exist check rich.,News Article
24,19,few,Beautiful reach whether heavy try approach team suddenly hand place I price scene.,5/10/2024,2/3/2022,Medium,Vermont,on,0.4,70547.48,Somebody degree size official its common most.,News Article
25,10,human,Charge eat course agent mouth safe professor instead argue final door personal.,2/19/2024,1/3/2024,High,Colorado,possible,1.52,30007.89,Employee car city hair.,Market Research
26,8,magazine,Trial debate peace blue class cup meet under pick.,8/27/2020,5/6/2024,High,Arizona,series,4.27,34716.83,Challenge nearly enter wish they because international.,News Article
27,14,series,Director sister member old gun another again find thus.,7/11/2020,12/17/2020,Medium,Delaware,federal,1,56240.65,Eight company piece pretty western around laugh.,Market Research
28,1,month,Work store young other learn both chair so seek month support.,7/19/2021,9/11/2022,Low,Texas,end,4.01,82848.82,Production sport there throw pretty.,Market Research
29,19,stock,Sea society common behind floor should event.,11/21/2021,12/13/2023,Medium,Oregon,here,1.85,57430.75,Ten pass anyone act agency apply.,Industry Report
30,13,again,Nothing foreign such base range list allow yeah time message manager must use.,1/28/2024,9/6/2023,Medium,Oregon,someone,3.2,58212.8,Interview store sport push when style kind.,Market Research
31,1,trouble,Represent wait ok thought clearly increase.,10/20/2021,6/1/2022,High,Arizona,image,4.62,27734.53,Lead voice area any focus.,News Article
32,16,cup,Beautiful remember approach show certain chance feeling take along.,5/19/2022,4/12/2023,Medium,New Jersey,while,0.94,44446.11,Tend television simple to far.,Market Research
33,13,hair,Picture thought score too when building million final inside strategy.,12/27/2021,3/22/2024,Low,Arizona,production,2.63,57650.77,Yet exactly anyone without window TV follow.,News Article
34,12,professional,Trial cold religious some more artist also.,3/15/2022,5/21/2020,Medium,Kansas,nor,4.32,98083.42,Your expert least something all nature it.,Market Research
35,1,growth,Forget industry site painting fly window to best.,3/28/2022,2/18/2024,High,Rhode Island,often,4.11,63083.8,Move season likely try size care.,Industry Report
36,18,cultural,Day trip world most thing when audience work feel hit candidate travel population.,8/14/2021,5/19/2021,Medium,Rhode Island,surface,4.18,82631.58,Spend receive everybody.,News Article
37,2,everyone,Area attack future sing wrong cold manage almost positive talk short describe.,7/10/2022,2/28/2020,Low,California,page,0.2,50303.61,Magazine plant walk available.,Market Research
38,13,will,Speech similar talk increase us bag.,12/3/2021,6/20/2022,High,North Dakota,now,1.06,33900.63,Read sound voice both line produce.,Market Research
39,20,month,Outside possible even heavy smile onto follow must behavior four here far raise.,3/6/2024,5/10/2021,Medium,California,tend,1.38,81521.45,President pattern another choose road institution.,Industry Report
40,16,analysis,Magazine well whole safe may down some anyone.,2/4/2023,11/19/2023,Low,Maryland,final,2.11,98887.45,Born turn produce clearly event occur behavior.,News Article
41,15,subject,Boy window event member meeting argue sister.,4/12/2022,1/31/2022,Low,Idaho,speak,0.99,45976.42,Leave style at experience expect.,Industry Report
42,15,security,Theory visit middle because next arrive trip forget food wear seven community.,9/25/2022,5/18/2024,High,Minnesota,system,2.58,10451.04,Social measure collection executive imagine.,News Article
43,20,major,Story lead sing picture measure explain consider.,6/29/2021,7/1/2023,Low,Connecticut,data,3.14,67361.35,Science be issue upon or draw.,Market Research
44,14,speak,Economy read do authority compare nothing item consumer.,4/30/2024,10/4/2022,High,Ohio,community,1.25,37112.93,Until store painting leader.,Market Research
45,13,life,Manager night against ready suggest speak Democrat truth.,9/16/2022,12/29/2020,Low,New York,medical,4.12,21405.56,Stop candidate quickly within soon place group worker.,News Article
46,9,believe,Think manager state sign Republican perhaps again road conference top music use.,3/3/2023,1/14/2023,Low,Kansas,hair,1.82,97168.74,Crime another feel writer animal debate.,News Article
47,4,heavy,What very president military include new summer chair.,10/5/2020,12/16/2022,High,Wyoming,audience,2.9,56993.45,Drive music call environmental major study PM.,Industry Report
48,1,act,Local south order computer voice upon break fear third place lay.,12/1/2023,4/9/2024,High,Florida,successful,0.27,78197.79,Fine prove account require school role.,Industry Report
49,10,outside,Hard around know great seem order local.,3/18/2022,11/5/2022,Low,Virginia,health,2.93,93514.26,Animal certain type affect show tonight tax.,Market Research
50,8,perform,Development bag risk rather mention partner.,2/23/2021,6/9/2021,High,North Carolina,later,4.26,36873.9,Piece wife civil within president.,Market Research
51,7,child,After push positive radio recent individual.,2/26/2020,12/31/2023,High,Hawaii,the,4.25,54936.55,Future other take.,Industry Report
52,20,professional,Great able run billion easy camera.,10/2/2022,12/13/2022,Low,Illinois,guy,4.92,49550.11,Skin impact name describe store water positive.,Industry Report
53,9,concern,Skill give figure cost heart capital chair high report happen clearly morning movie.,5/14/2022,1/7/2024,Medium,Rhode Island,season,4.17,39504.03,Tend involve news woman.,Market Research
54,12,century,Firm end future wide either investment.,8/21/2023,6/5/2022,Medium,Vermont,southern,2.36,71880.21,Blood indeed artist community price.,Market Research
55,10,cover,Tough manage will friend head suffer physical moment large event back war worry.,7/14/2023,7/16/2023,High,Missouri,city,2.18,81876.68,Material century model hit later character Republican.,Market Research
56,1,minute,Company later themselves positive total interesting less computer police family issue.,11/28/2021,8/23/2022,High,Texas,drug,4.5,72614.96,Per remember box reflect thank positive large.,Market Research
57,4,force,Quite special standard age role bag add fall like local small consumer.,7/25/2022,1/7/2021,High,Utah,threat,4.87,16392.36,Personal project crime entire rich shake fall.,Market Research
58,12,listen,White indicate best be explain significant center bit ground charge agency recent.,11/20/2021,9/5/2021,Medium,New Mexico,method,1.24,15192.18,Kitchen no present long cold hold away.,Market Research
59,9,study,Teacher across charge system enjoy meet goal good large.,8/9/2023,2/17/2021,Medium,Alabama,war,1.04,58266.02,Middle board cup age number so effect.,Market Research
60,16,voice,Deep hit property issue audience election bank argue price occur appear possible party.,12/11/2021,7/24/2020,Low,Minnesota,sometimes,2.65,31100.78,Art week author others down much number.,Market Research
61,15,direction,Wide behavior treatment could feel author matter sense bad forget.,6/29/2021,7/19/2022,Medium,Kansas,there,2.16,62951.63,Near game religious trip wait.,Industry Report
62,17,it,State trip job doctor thought consumer late her official open not low place.,9/2/2023,1/31/2021,Low,Washington,bill,4.55,4526.27,Page give serve teach.,Market Research
63,6,address,Business hair within house opportunity significant last window.,2/13/2024,7/29/2022,High,Arizona,skill,1.83,97812.29,Expect ago memory partner.,News Article
64,1,official,Paper program this over capital second support third go culture environmental find.,10/22/2023,9/26/2022,Low,Rhode Island,simply,3.45,31026.79,Research middle leg political culture.,Industry Report
65,17,organization,Seek look begin him letter situation him inside medical in lay.,8/7/2024,1/21/2022,Medium,South Carolina,deep,3.76,57502.5,Environment red piece.,Industry Report
66,17,environmental,Admit collection soon them manager wear together back guy.,4/29/2024,9/20/2022,Medium,Pennsylvania,laugh,4.64,36649.12,Main newspaper mention significant already cost international.,News Article
67,5,major,Trade feeling season citizen fight item along tree protect community discover raise.,9/14/2021,5/9/2023,High,Utah,physical,4.92,24479.46,Eat professional beautiful place mention.,News Article
68,13,according,Pass physical of Congress nice approach power.,4/20/2023,7/28/2020,Medium,Michigan,discussion,1.75,26686.05,Any Congress anyone five exist open one.,News Article
69,11,language,Produce American direction in anyone fire boy also gun.,10/3/2021,7/20/2020,Low,Arizona,still,3.41,94434.42,Task total notice say choice.,News Article
70,2,outside,Clearly often throw toward everybody continue.,1/26/2022,10/13/2022,High,New York,agency,1.22,91996.58,Follow interesting peace.,Market Research
71,4,field,Seven analysis house important wide region whose everyone mention.,10/9/2022,4/28/2021,High,Iowa,next,1.61,18375.12,Fall miss computer home.,Industry Report
72,13,society,Call environmental wife easy find history medical key effort draw.,4/3/2023,8/20/2023,Medium,Kansas,apply,3.31,58125.42,Party our TV capital respond human whom.,Market Research
73,17,scientist,Hundred other avoid hear issue ball.,1/7/2021,12/21/2020,Medium,Missouri,miss,4.94,74371.59,Talk big arrive remember.,News Article
74,12,defense,Couple allow seek research truth home win during plant line.,12/25/2020,7/21/2022,High,Indiana,method,2.04,79800.65,Authority final until player campaign born medical create.,Industry Report
75,10,brother,Area order themselves building project she world exactly site sea charge piece however.,8/3/2024,11/10/2020,Medium,Rhode Island,their,1.89,21440.06,Then all group factor partner easy.,Industry Report
76,18,police,Whether matter personal religious school strategy big cover apply able.,1/6/2023,7/21/2024,High,Oklahoma,operation,1.54,28616.42,Speak speak and three majority street network.,Market Research
77,11,TV,National building hospital game turn cultural believe very manager something another structure mean.,6/21/2022,10/11/2020,Medium,West Virginia,stuff,1,72149.43,Difference former small likely up discuss.,Market Research
78,7,you,Exist prepare food success worker responsibility manager from material pay really sister.,4/11/2020,2/18/2020,Medium,Oklahoma,occur,4.71,72783.81,Free right focus agree enter leader decide there.,News Article
79,5,edge,Design trial buy service hit one.,3/31/2024,7/26/2022,Medium,Indiana,public,1.53,20701.87,Red them him interest she baby.,Industry Report
80,2,region,Could themselves great only artist model student student work whose growth.,1/11/2020,5/31/2023,Low,Iowa,unit,0.64,26210.89,Why process draw wear throw.,Industry Report
81,13,trip,Live skill soon back both many number difference generation senior.,12/21/2020,5/14/2020,Medium,New Hampshire,fall,3.64,18303.79,Want himself whatever price run Mrs common.,News Article
82,2,food,Cultural seek sound whom hour actually why write choice ready do maybe.,8/12/2022,7/11/2024,Low,Virginia,coach,4.66,57465.48,Go marriage policy.,Market Research
83,7,win,Probably heart collection environment late bit.,4/13/2023,6/14/2023,Medium,New Hampshire,statement,1.26,97510.14,Light little enter ago six cold dark.,Market Research
84,19,walk,Customer free break less spring want class suffer center.,2/2/2020,9/1/2023,High,Florida,card,3.94,10971.76,Purpose less down suggest I send hour.,Market Research
85,4,law,Major data reality simple some time.,7/5/2024,11/19/2021,High,Indiana,theory,0.69,40885.6,Factor health agreement marriage low environmental.,Market Research
86,14,network,Become table include after use PM cost.,7/3/2024,6/16/2024,Medium,Nevada,article,1.41,64361.24,Town moment their pressure.,Market Research
87,4,paper,Produce item team who myself speech might goal person institution car mother.,5/20/2020,2/18/2022,Medium,Georgia,effect,0.83,23854.97,Us leave indicate moment meeting trip resource.,Market Research
88,9,charge,Put couple same include sport remember.,12/19/2021,6/1/2020,High,Tennessee,town,2.56,2576.63,Herself mother on.,Industry Report
89,18,cultural,Player another member able my perhaps include degree hit off.,8/4/2022,3/1/2021,Low,California,heavy,2.11,66780.2,Clear prevent decide line.,News Article
90,3,ok,Develop game here service world conference himself its great goal back live tell.,3/29/2020,10/25/2021,Low,Arizona,a,0.22,79398.79,Dog any nice beyond campaign book continue method.,News Article
91,3,young,Operation quickly past fight office performance remember.,2/22/2022,6/16/2021,High,Tennessee,seem,4.33,90336.31,Speech others difficult.,Market Research
92,18,other,Office range color only fine either teach.,5/16/2020,1/23/2021,Low,Florida,edge,1.85,7898.63,Who city father current.,News Article
93,10,program,Tax cover feeling attack most environment expect law authority respond.,1/1/2023,5/20/2023,Low,Arkansas,continue,4.07,43764.86,Its strategy deal possible four reason party.,Industry Report
94,12,within,End performance trip at official occur special war wait summer single.,3/4/2022,7/28/2024,High,Iowa,beyond,3.21,57040.94,Both thing light trial.,Industry Report
95,10,practice,Section student three beyond career wrong right page.,2/5/2022,4/13/2021,Low,New York,people,1.72,88324.97,Stage interest position perhaps recognize.,News Article
96,6,claim,Yeah treat anyone research occur attack beautiful able trade whatever executive.,2/2/2021,8/13/2024,Low,New Jersey,social,4.02,83163.32,Reach rule recently ask pay new free sport.,Market Research
97,3,health,Tough subject change international down pick else spring commercial build story.,8/3/2022,2/3/2020,Low,Oregon,toward,2.64,81751.65,Skill and rule send property remain.,Market Research
98,8,brother,Themselves prevent well memory down argue continue sister show.,6/29/2022,10/10/2020,High,Georgia,about,2.15,25856.31,Development dark teacher Mr between law foot.,News Article
99,12,whatever,Decade system less candidate wind myself middle sound each next.,9/21/2021,2/28/2021,Medium,Arizona,including,2.77,76881.09,Image card book fine.,Market Research
100,1,child,Position even price theory difference prove voice carry turn anything any will.,11/21/2021,2/29/2020,High,Maine,out,2.67,24831.07,Wish PM example prevent room owner thousand.,News Article
101,16,cold,Point save age career call young raise see benefit pretty study.,5/22/2021,5/31/2022,High,Delaware,age,0.57,17649.15,Body recognize kind expert try.,News Article
102,11,part,Later condition officer step might line peace home action behind meet result.,1/12/2023,1/19/2024,Medium,Iowa,research,3.1,38160.26,Culture finish management day staff impact policy.,Market Research
103,17,some,Find learn allow dog bank gas magazine.,7/16/2024,12/25/2023,High,Tennessee,sing,3.16,82438.38,Above its a loss sure tell.,Industry Report
104,15,technology,Summer attorney should region test drop speech marriage onto turn.,2/7/2024,8/24/2022,Medium,Connecticut,full,0.75,53981.71,Experience particular store.,News Article
105,5,bill,Side probably sure way than agree most knowledge consider including visit.,7/27/2024,2/27/2024,High,Nebraska,decide,0.6,7575,Leave claim special source behind example crime.,Industry Report
106,5,raise,Kitchen prevent doctor thing month put shoulder into particular son.,8/30/2023,9/29/2022,Low,Delaware,onto,1.4,32178.69,Short former claim computer itself young.,Market Research
107,5,knowledge,View short true fear opportunity company pretty ground can try grow send race.,12/6/2020,10/18/2021,Medium,California,no,0.55,14607.86,School knowledge though of throw positive why parent.,News Article
108,15,compare,Red operation range put Mrs pattern section half day them gun.,2/27/2020,9/11/2021,Low,Wisconsin,military,1.95,41303.12,Discussion either none card.,Market Research
109,11,himself,Down discussion all statement however once later environmental.,3/13/2020,9/6/2021,High,Colorado,lay,2.42,67407.46,Animal good child common firm.,Industry Report
110,10,old,Send appear your vote carry teacher do head society which.,4/30/2021,9/27/2022,Medium,Illinois,take,3.48,80723.9,Such three thing past whatever.,News Article
111,4,worker,Myself research fall school machine fall seat.,2/7/2022,5/27/2020,Medium,Missouri,red,3.27,63929.76,Thought evidence think rock even.,Industry Report
112,13,then,Record authority score eye white activity control.,8/31/2020,3/17/2024,High,Alabama,available,4.86,82189.99,Less throughout hot president charge hundred cup successful.,News Article
113,3,maintain,Kitchen ready wind investment later yet shake.,11/18/2020,8/8/2023,High,New York,film,3.78,57604.65,Real situation difference space oil culture.,News Article
114,11,piece,State pass husband miss radio stuff bit well PM.,9/9/2022,8/20/2021,Low,Texas,health,4.14,54473.42,Best find a question happy college.,Market Research
115,18,key,Teacher situation group pull everything teach education per traditional not understand stay understand.,2/9/2024,5/1/2021,High,Michigan,arm,1.75,97138.86,Finally personal television chair hair game.,Market Research
116,20,production,Ask civil cost local area everyone approach century society change.,3/11/2021,8/8/2022,Low,North Carolina,story,0.92,94799.89,Ready general only general.,Industry Report
117,15,tonight,Process tough share now per low current suggest.,9/26/2022,12/12/2023,Medium,Idaho,evening,2.37,85109.52,Cold could fear wide.,Industry Report
118,14,thing,Why this image protect mean write network six power develop.,2/12/2021,11/15/2022,High,Nebraska,race,0.8,93013.93,Moment real ago of beautiful skin.,Market Research
119,7,wear,Mr rest suggest foreign actually grow benefit activity benefit.,11/2/2022,1/28/2023,Medium,Missouri,side,2.24,7773.68,Continue public west they.,News Article
120,6,analysis,Hour cover other foreign magazine market indeed individual plan table minute treat.,4/29/2023,11/1/2023,Low,California,different,2.1,40831.9,Four consider century face small.,Market Research
121,13,meet,Usually eight nearly watch minute item.,1/28/2023,8/19/2020,Medium,Maryland,message,2.44,39871.46,Admit case home responsibility address movement.,News Article
122,2,air,Player other soon goal large century pick just forward actually.,10/7/2023,6/14/2022,High,Mississippi,cold,4.84,66943.9,Safe care many you.,Industry Report
123,7,six,Outside institution series environmental remain fear success break.,7/20/2023,7/30/2021,Medium,Washington,herself,2.32,51024.25,True whatever toward or board international continue fire.,News Article
124,3,likely,Cell chair use size window decision.,1/31/2023,3/17/2022,Low,Idaho,measure,0.92,66984.17,Knowledge large theory likely others.,Industry Report
125,8,several,School answer parent know stand contain thousand fire person son least.,3/2/2020,3/30/2023,Low,Rhode Island,notice,2.74,50334.31,Should above fear risk agreement me.,Industry Report
126,16,box,Such director from choose share fight full standard treatment she.,11/6/2021,5/1/2024,High,Arizona,response,3.96,48742.26,Student deep century with idea rich.,Market Research
127,19,garden,Customer move city than leave peace general.,6/30/2020,6/14/2020,Low,Wisconsin,save,3.37,72292.6,Film generation effort finish traditional.,Market Research
128,17,feeling,Politics eight director create create brother mention.,9/23/2020,4/7/2024,High,Maryland,Republican,1.03,96188.19,Little support seem chance hold.,News Article
129,16,let,Available where call it risk road.,2/17/2021,10/17/2023,High,New Hampshire,little,3.58,81712.42,Production power lose foot very ability main for.,Industry Report
130,4,which,Against form along true consider every morning whose experience.,9/27/2023,12/12/2021,High,New Hampshire,east,1.68,82482.46,Idea my wait what enjoy.,News Article
131,16,government,Black could down west food herself west home.,4/10/2021,6/12/2024,High,Maryland,picture,5,26022.34,Interview government surface every model pattern great.,News Article
132,17,marriage,Kind success among treatment full those finish type.,12/23/2021,2/16/2023,High,Hawaii,choose,3.1,63175.26,Also wish compare talk computer true.,Industry Report
133,7,administration,Mother once great begin weight across phone.,6/27/2021,5/19/2021,Medium,Colorado,economic,3.69,4571.05,With consider either budget of sport certain.,News Article
134,15,stay,Want pick sign option production necessary call discussion want.,6/12/2022,11/9/2022,Low,Illinois,American,0.8,72384.35,Place realize example blood such skill.,Market Research
135,20,race,Friend miss poor none value culture relate painting entire response.,12/1/2020,11/5/2023,Medium,North Carolina,support,2.81,2695.63,Million write money military system.,Industry Report
136,15,doctor,Station company buy send where by.,7/6/2020,12/3/2021,Medium,Texas,his,3.65,78134.54,Serve early blood none together.,Market Research
137,15,forget,That mouth clearly street wind team news project raise.,7/16/2023,10/5/2020,Medium,Delaware,key,0.76,6351.47,Dinner building available.,Industry Report
138,10,up,Doctor sound close employee beautiful treat pull threat bed into.,2/26/2020,3/24/2021,Medium,North Dakota,understand,3.99,81371.32,Yes since without.,Market Research
139,2,expect,Push risk image office time long.,3/30/2023,9/30/2023,Medium,South Dakota,four,0.02,2847.09,Continue ready cut sometimes.,Industry Report
140,16,recognize,Subject authority score stock every body.,12/4/2021,10/2/2020,Low,Pennsylvania,begin,0.95,21290.24,Reason country director throughout.,Industry Report
141,11,size,Perform time light know when father window throw suffer several find avoid none.,11/11/2020,5/21/2021,High,Montana,price,4.37,45278.96,Event young history.,Industry Report
142,10,eat,North more recently ability wide challenge.,6/20/2024,1/18/2023,High,Mississippi,admit,4.72,84124.85,Fund administration little still now wait special.,Industry Report
143,8,production,Perform although lawyer degree test machine real hot with scientist exist for turn.,4/6/2024,2/29/2024,Low,Virginia,garden,0.89,55518.94,Arm body number thank.,News Article
144,9,moment,House note lead cost job style.,9/17/2022,9/15/2021,High,New Hampshire,its,4.81,20544.52,Available charge man but child Democrat back.,Market Research
145,8,positive,His may politics bank even each our friend animal sign.,4/23/2021,10/8/2022,High,Connecticut,door,0.07,36241.55,Simple question agreement medical ago year account turn.,Industry Report
146,10,realize,Measure take something owner religious when soon notice she establish.,6/16/2020,1/22/2024,High,Nevada,method,1.35,66555.97,West gas social near beautiful west.,News Article
147,7,son,Door lawyer morning national audience view policy and policy bed performance general every.,5/5/2023,12/30/2021,High,Wyoming,third,4.39,9149.53,Once question strong.,News Article
148,2,source,Fine process win with girl stuff toward resource expect plan.,6/9/2024,1/8/2022,Low,North Carolina,truth,2.42,39413.61,May animal hospital onto which employee.,Market Research
149,9,as,Approach half bed minute camera brother experience research about example use apply.,6/6/2023,1/30/2020,High,Indiana,produce,4.7,27265.64,Name our plan product on.,Market Research
150,7,high,Can organization past find see phone suffer bad ago become beyond ahead Congress.,7/8/2024,2/15/2023,High,Oklahoma,nothing,4.02,33328.33,Increase computer end both work own.,Industry Report
151,9,civil,Team level necessary decide cut purpose share without peace pretty change.,7/7/2024,2/4/2022,High,Rhode Island,production,4.88,71463.79,Art total inside plant notice.,News Article
152,8,discover,Hot detail manager again husband enjoy.,2/24/2021,5/25/2024,High,Ohio,visit,3.57,31486.12,Leader process pass plant imagine section.,Industry Report
153,15,house,Too special save walk however audience among color window argue man democratic south.,12/5/2023,10/21/2022,Medium,Georgia,value,0.93,66972.51,Accept start write future shake.,Industry Report
154,5,up,Free memory down present mention wonder understand expert arrive property.,1/16/2022,1/30/2020,Medium,Utah,talk,3.77,51147.25,Factor also shoulder practice federal identify.,News Article
155,14,especially,Painting prove chance exactly economic development place paper newspaper.,8/7/2022,6/23/2023,High,Colorado,us,3.78,26951.35,Kid human star successful ground.,Market Research
156,13,also,Ahead expect hot but she blue include.,1/1/2022,2/22/2021,Low,Louisiana,side,1.49,20730.83,Their near student sea.,News Article
157,18,world,Key professional appear society top pass point decision write arrive election.,11/9/2022,5/25/2020,High,Montana,road,4.01,30101.12,Great pressure agree key yes room successful ever.,Market Research
158,18,yes,Expect year value movie none sometimes everybody song matter art society bed.,3/16/2024,9/6/2022,Medium,Delaware,TRUE,1.28,25185.56,Year one station section nor under.,News Article
159,10,trip,Bag it like father choice your somebody choice back minute charge actually amount.,6/16/2023,10/19/2023,High,Georgia,democratic,2.58,45908.19,Piece worry together suggest away.,Industry Report
160,18,number,Whole full try style late start able.,9/26/2021,3/2/2023,High,South Carolina,economic,0.79,25211.47,Treatment leg happy president whether sport.,News Article
161,7,air,Design second medical change expert couple than project where pattern.,3/29/2022,1/20/2021,High,Vermont,moment,4.68,40536.93,Foot mention herself.,Industry Report
162,1,on,Attorney first about show plan south talk few pattern.,7/3/2020,3/24/2024,High,Alabama,interesting,3.77,63129.53,Suddenly security attention deep year.,News Article
163,20,day,Ask sell debate what century interesting agency goal number listen contain.,9/27/2022,10/19/2020,Low,Tennessee,start,3.65,32742.84,Great professor air fund space.,News Article
164,1,economic,Television cell beyond different side for ready local more trouble you.,8/6/2023,10/3/2021,Low,Michigan,where,3.37,6883.6,Son itself firm save follow myself investment.,Market Research
165,10,year,Everything stay music half per wish stage amount skill authority those voice third.,11/24/2022,1/27/2023,Low,Hawaii,add,0.47,12119.2,Audience from ability career.,Industry Report
166,9,fly,End office for store evidence which wonder.,10/6/2020,11/19/2023,Low,Indiana,politics,3.73,66141.14,Kitchen him space.,News Article
167,3,clear,Alone guess structure lead worry move shoulder both.,7/1/2020,7/9/2021,Low,Kentucky,produce,4.63,6731.38,Increase top should current in idea Democrat.,News Article
168,15,field,Same knowledge agent town year value pull young interest.,7/16/2024,2/25/2024,Medium,Idaho,key,1.82,84906.09,Impact it life husband brother lawyer whether morning.,Market Research
169,1,market,When sometimes floor nothing may store drug race explain generation we stage.,12/27/2023,2/5/2020,Low,Iowa,adult,1.69,13840.58,See oil admit still check natural service.,Market Research
170,5,which,Read sea interest determine mouth treat woman area.,9/16/2023,7/25/2024,High,Alabama,call,2.47,16899.5,Too say raise night.,News Article
171,12,mean,Game manage participant decision white far control act with PM.,1/11/2021,6/4/2022,High,Maine,put,2.24,86758.9,Bad travel when opportunity eye top five.,Industry Report
172,4,relationship,What air road strategy writer father condition white body under cell resource.,12/6/2023,3/26/2020,Medium,Nevada,inside,1.39,83063.33,Probably arrive painting.,Market Research
173,14,describe,Reduce analysis hour point about nice fund.,1/16/2020,1/21/2023,High,Virginia,tonight,3.26,75834.5,Garden finally culture why program marriage foot.,Industry Report
174,12,agent,Water heavy physical run those likely smile five tax husband.,1/8/2020,3/30/2024,Medium,Mississippi,million,1.98,74203.03,Guy reach kitchen above popular.,Market Research
175,11,support,Hotel past film international personal join artist bank race green.,11/19/2022,4/2/2021,Low,Wisconsin,method,3.31,46669.09,Marriage either yeah name item policy.,News Article
176,3,not,City significant government training above usually lose police perhaps.,7/12/2022,5/7/2022,High,Oregon,hot,4.42,16344.96,Stand shake treat business education.,Industry Report
177,17,break,Hear practice challenge story body what.,10/7/2021,11/17/2021,Low,Kansas,per,0.16,80027.89,Trial generation home teach.,Market Research
178,7,six,Several song my order key deal wide serious project.,9/30/2023,2/15/2024,High,Michigan,happen,2.25,89675.81,Population help whatever represent land so price.,Industry Report
179,15,enough,Or mention decade share do chair knowledge nor.,7/8/2024,4/2/2021,Low,Oregon,individual,4.45,27079.14,Available power military our include matter stuff.,News Article
180,5,you,Into reflect simple poor door upon.,5/28/2020,8/1/2023,Medium,Florida,executive,3.55,53557.48,Involve out simply detail administration.,Industry Report
181,14,central,Professor kind couple ask hold instead owner pressure special above hear open simple.,2/6/2023,2/2/2024,Medium,Alabama,foot,3.19,52062.22,Rule reduce under they officer serve.,News Article
